IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
154.17.28.199,8001,TRUE,LAX,US,North America,Los Angeles,906,DMIT,153,10.72
129.154.212.181,20309,TRUE,NRT,KR,Paripark,Tokyo,13335,Cloudflare Warp,54,12.33
35.221.215.200,2023,TRUE,TPE,TW,Taipei,Taipei,396982,Google Cloud,20,12.89
8.217.229.36,23629,TRUE,HKG,HK,Hong Kong,Hong Kong,45102,Alibaba,8,4.82
47.242.60.161,443,TRUE,HKG,HK,Hong Kong,Hong Kong,45102,Alibaba,7,12.2
140.238.2.153,59408,TRUE,ICN,KR,Paripark,Seoul,31898,Oracle Cloud,52,12.52
8.210.146.108,443,TRUE,HKG,HK,Hong Kong,Hong Kong,45102,Alibaba,8,13.19
43.154.34.74,1935,TRUE,HKG,HK,Hong Kong,Hong Kong,132203,Tencent cloud computing,8,11.95
47.242.234.127,443,TRUE,HKG,HK,Hong Kong,Hong Kong,45102,Alibaba,9,13.34
174.136.205.41,50008,TRUE,SJC,US,San Jose,San Jose,906,DMIT,149,10.66
107.165.195.179,443,TRUE,KIX,JP,Osaka,Osaka,149440,Evoxt Enterprise,49,11.34
45.66.216.109,6162,TRUE,LAX,JP,Tokyo,Los Angeles,3258,xTom,57,10.07
129.154.195.74,15000,TRUE,SJC,KR,Paripark,San Jose,31898,Oracle Cloud,53,10.53
43.128.110.33,34237,TRUE,SIN,SG,Singapore,Singapore,132203,Tencent cloud computing,43,3.79
183.236.51.16,10289,TRUE,HKG,HK,Asia Pacific,Hong Kong,9808,"China Mobile Communications Group Co., Ltd.",250,33.15
202.139.228.24,12321,TRUE,HKG,HK,Asia Pacific,Hong Kong,396856,AS-SHARON,265,33.12
54.95.25.207,10018,TRUE,NRT,JP,Asia Pacific,Tokyo,16509,AMAZON-02,242,29.4
140.238.31.153,15914,TRUE,HKG,HK,Asia Pacific,Hong Kong,31898,ORACLE-BMC-31898,347,28.26
140.238.2.153,59408,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,305,25.22
13.78.116.99,443,TRUE,HKG,HK,Asia Pacific,Hong Kong,8075,MICROSOFT-CORP-MSN-AS-BLOCK,418,25.08
